,x,y,z,cf
0,0.0400380444,1.0,0.0,0.0016533930056897902
1,0.120091129,0.999013462,0.0,0.0015213642332201566
2,0.199800918,0.993013561,0.0,0.0005957651855797137
3,0.277973124,0.977106876,0.0,-0.0006506063231578996
4,0.352564098,0.94901365,0.0,-0.0009158956527290318
5,0.422486414,0.910395547,0.0,-0.0005831437258800125
6,0.488446791,0.865122145,0.0,-0.00026517935070300834
7,0.551688813,0.816041132,0.0,-0.00016586560361619502
8,0.6132977,0.764897296,0.0,-0.0001470747029401172
9,0.674201235,0.712904702,0.0,-0.0001825836494716647
10,0.735216308,0.661046928,0.0,-0.00022320727699661632
11,0.796797078,0.609864836,0.0,-0.0002718904533019456
12,0.858966466,0.559397323,0.0,-0.0003297156856227975
13,0.921616478,0.50952756,0.0,-0.00039953681875955276
14,0.984634961,0.460123833,0.0,-0.00047924553173913384
15,1.04790614,0.411043599,0.0,-0.0005678011091920055
16,1.11136985,0.362212077,0.0,-0.0006671566825699448
17,1.17518185,0.313839079,0.0,-0.0007586091965333666
18,1.23969246,0.266405449,0.0,-0.0008285639890786392
19,1.30529509,0.220501966,0.0,-0.0008585403994036873
20,1.37240135,0.176849229,0.0,-0.0008120728057369248
21,1.4414317,0.136341536,0.0,-0.0006948468586818
22,1.5126651,0.0998773425,0.0,-0.0005260927161251062
23,1.58612969,0.0681756111,0.0,-0.00035711368246847805
24,1.66168426,0.0418782578,0.0,-0.00024788862482684097
25,1.73906429,0.02162718,0.0,-0.0002363079978373693
26,1.81786953,0.00800903409,0.0,-0.0003345510212219249
27,1.89756737,0.00146303547,0.0,-0.0005767069628410368
28,1.9776032,-3.63526342e-09,0.0,-0.0009824541697277334
29,2.05767929,0.0,0.0,-0.001384077446334728
30,2.13775538,0.0,0.0,-0.00176944231564217
31,2.21783147,0.0,0.0,-0.002135978506821375
32,2.29790756,0.0,0.0,-0.0024586969935179765
33,2.37798364,0.0,0.0,-0.002740261707897469
34,2.45805973,-5.55111512e-17,0.0,-0.0029377348756731998
35,2.53813582,-5.55111512e-17,0.0,-0.0030874529875871736
36,2.61821191,0.0,0.0,-0.003212438177101092
37,2.698288,0.0,0.0,-0.003303586845857499
38,2.77836409,0.0,0.0,-0.0033288997618988172
39,2.85844018,1.11022302e-16,0.0,-0.003266812943582613
40,2.93851627,1.11022302e-16,0.0,-0.0032436240797712205
41,3.01859236,0.0,0.0,-0.003286951932717951
42,3.09866844,0.0,0.0,-0.0032875670486753597
43,3.17874453,0.0,0.0,-0.003223676164625722
44,3.25882062,0.0,0.0,-0.0031489050995893776
45,3.33889671,0.0,0.0,-0.00303381764906187
46,3.4189728,0.0,0.0,-0.0029676732180826623
47,3.49904889,0.0,0.0,-0.0029703593211933667
48,3.57912498,0.0,0.0,-0.002931391096658695
49,3.65920107,-5.55111512e-17,0.0,-0.0028290950858893046
50,3.73927716,-5.55111512e-17,0.0,-0.002757777562384395
51,3.81935324,0.0,0.0,-0.0026353382410587833
52,3.89942933,0.0,0.0,-0.0025040374467714985
53,3.97950542,0.0,0.0,-0.0023828484572534824
54,4.05958151,1.11022302e-16,0.0,-0.002196995369445032
55,4.1396576,1.11022302e-16,0.0,-0.002011462190850885
56,4.21973369,0.0,0.0,-0.0018320826506291895
57,4.29980978,0.0,0.0,-0.001675760611477865
58,4.37988587,0.0,0.0,-0.0015100628622220843
59,4.45996196,0.0,0.0,-0.0013312535367260405
60,4.54003804,0.0,0.0,-0.0011604154623931005
61,4.62011413,0.0,0.0,-0.0009710780423634799
62,4.70019022,0.0,0.0,-0.0008251986305126298
63,4.78026631,0.0,0.0,-0.0007628058643333179
64,4.8603424,0.0,0.0,-0.000695374318273417
65,4.94041849,0.0,0.0,-0.0006518498213196281
66,5.02049458,0.0,0.0,-0.0006101331843866263
67,5.10057067,0.0,0.0,-0.0005311417313741071
68,5.18064676,0.0,0.0,-0.0004145338493082945
69,5.26072284,0.0,0.0,-0.00025111708329000844
70,5.34079893,0.0,0.0,-0.00012413093169099317
71,5.42087502,0.0,0.0,-8.607249383129187e-05
72,5.50095111,0.0,0.0,-3.0297314935170642e-06
73,5.5810272,0.0,0.0,7.70419220354153e-05
74,5.66110329,0.0,0.0,0.00013986460072807426
75,5.74117938,0.0,0.0,0.00018964830997320736
76,5.82125547,0.0,0.0,0.00026581224373389004
77,5.90133156,0.0,0.0,0.00034696929033167654
78,5.98140764,0.0,0.0,0.0003997116920023853
79,6.06148373,0.0,0.0,0.00043002802726534314
80,6.14155982,0.0,0.0,0.00046725304671732645
81,6.22163591,0.0,0.0,0.0005023267642665095
82,6.301712,0.0,0.0,0.0005195976941124952
83,6.38178809,0.0,0.0,0.0005054878870378918
84,6.46186418,0.0,0.0,0.0004929717345923344
85,6.54194027,0.0,0.0,0.000456822366350316
86,6.62201636,0.0,0.0,0.00039068741045224096
87,6.70209244,0.0,0.0,0.0003189033723327789
88,6.78216853,0.0,0.0,0.00024613756967642886
89,6.86224462,0.0,0.0,0.0001514493108383614
90,6.94232071,0.0,0.0,4.077004784877271e-05
91,7.0223968,-3.63526342e-09,0.0,-0.0001238162620519947
92,7.10243263,0.00146303547,0.0,-0.0003043772620423249
93,7.18213047,0.00800903409,0.0,-0.00041067228901953384
94,7.26093571,0.02162718,0.0,-0.0004638405405658193
95,7.33831574,0.0418782578,0.0,-0.00040738781784498314
96,7.41387031,0.0681756111,0.0,-0.00023611649209401135
97,7.4873349,0.0998773425,0.0,0.00010945735772373248
98,7.5585683,0.136341536,0.0,0.0005415364478824502
99,7.62759865,0.176849229,0.0,0.000982986233708851
100,7.69470491,0.220501966,0.0,0.0014038230126049243
101,7.76030754,0.266405449,0.0,0.0018820709021525616
102,7.82481815,0.313839079,0.0,0.002380985998780204
103,7.88863015,0.362212077,0.0,0.0029031566530251184
104,7.95209386,0.411043599,0.0,0.0034650765511902645
105,8.01536504,0.460123833,0.0,0.004110473238825217
106,8.07838352,0.50952756,0.0,0.00482544664279322
107,8.14103353,0.559397323,0.0,0.005667371217135002
108,8.20320292,0.609864836,0.0,0.00676091724956582
109,8.26478369,0.661046928,0.0,0.008192776547904117
110,8.32579876,0.712904702,0.0,0.010034553715936508
111,8.3867023,0.764897296,0.0,0.012430814821381279
112,8.44831119,0.816041132,0.0,0.01555852208248112
113,8.51155321,0.865122145,0.0,0.01940063426363218
114,8.57751359,0.910395547,0.0,0.023367425618174006
115,8.6474359,0.94901365,0.0,0.024965321029308075
116,8.72202688,0.977106876,0.0,0.019881373833119005
117,8.80019908,0.993013561,0.0,0.010753398872272963
118,8.87990887,0.999013462,0.0,0.004502922472673483
119,8.95996196,1.0,0.0,0.002162470203176817
